"STATENAME","STATEABB","LEVEL","SIGNAL"
"ALABAMA","AL",3,"AUTHORIZED ROUTE"
"ARIZONA","AZ",2,""
"ARKANSAS","AR",2,""
"CALIFORNIA","CA",4,"AUTHORIZED HIGHWAYS"
"COLORADO","CO",1,""
"CONNECTICUT","CT",4,"Authorized Routes"
"DELAWARE","DE",4,"ROUTING INFORMATION"
"FLORIDA","FL",1,""
"GEORGIA","GA",1,""
"IDAHO","ID",4,"Routes"
"ILLINOIS","IL",1,""
"INDIANA","IN",3,"Allowable Travel"
"IOWA","IA",2,""
"KANSAS","KS",1,""
"KENTUCKY","KY",5,""
"LOUISIANA","LA",3,"Via Highway Numbers"
"MAINE","ME",5,""
"MARYLAND","MD",2,""
"MASSACHUSETTS","MA",1,""
"MICHIGAN","MI",2,""
"MINNESOTA","MN",2,""
"MISSISSIPPI","MS",3,"Origin[ ]*?Destination[ ]*?"
"MISSOURI","MO",2,""
"MONTANA","MT",2,""
"NEBRASKA","NE",3,"Detailed Routing"
"NEVADA","NV",3,"Over Routes"
"NEW HAMPSHIRE","NH",5,""
"NEW JERSEY","NJ",2,""
"NEW MEXICO","NM",1,""
"NEW YORK","NY",3,"Trip Information"
"NORTH CAROLINA","NC",2,""
"NORTH DAKOTA","ND",1,""
"OHIO","OH",2,""
"OKLAHOMA","OK",1,""
"OREGON","OR",5,""
"PENNSYLVANIA","PA",1,""
"RHODE ISLAND","RI",5,""
"SOUTH CAROLINA","SC",3,"^Via"
"SOUTH DAKOTA","SD",2,""
"TENNESSEE","TN",3,"Route"
"TEXAS","TX",1,""
"UTAH","UT",3,"ROUTING"
"VERMONT","VT",5,""
"VIRGINIA","VA",4,"Via Route"
"WASHINGTON","WA",1,"^[ ]*Route Nbr"
"WEST VIRGINIA","WV",2,""
"WISCONSIN","WI",3,"^[ ]{0,}Allowable Travel[ ]{1,}Origin"
"WYOMING","WY",5,""
